,save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_threshold,auc_train,auc_test,outcome,outcome_label,alg,bootstrap_iteration
0,results/cart/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.025202873269999704,0.0200432326421685,0.3021467451768366,0.019041832379617617,-0.27527754538206173,0.15,0.7107798855766336,0.6829268292682926,Neutro4,Neutro4,cart,0
0,results/linear/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.4}",-0.026529054798839234,0.02150490628718667,0.251255068725447,0.010468936836548906,0.29886999289182714,0.15,0.7377295995182174,0.8390243902439024,Neutro4,Neutro4,linear,0
0,results/rf/vAAAI-23_CHEMOexample_Neutro4_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 25}",-0.025300027095203736,0.008644331282212685,0.699026857156254,0.013909708286150567,0.06843321133683689,0.15,0.8575730201746462,0.6536585365853659,Neutro4,Neutro4,rf,0
0,results/cart/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.000824413576765492,0.0005458978203869483,0.32648296842815094,0.001372087818685206,-0.03647457853835068,0.1008105757875056,0.8158422459893048,0.6023391812865497,OTHER_34,OTHER_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.2}",-0.000810822897430102,0.0007181500983827528,0.11396179940243745,0.0012392653246078114,0.06385947930730429,0.1008105757875056,0.683322192513369,0.7726608187134503,OTHER_34,OTHER_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_OTHER_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 25}",-0.0007932290196202829,0.00029283409736989,0.63870756643837,0.001192332927194185,0.09931219316908602,0.1008105757875056,0.872827540106952,0.6681286549707602,OTHER_34,OTHER_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005311468718806318,0.003570372100539148,0.3708147217491077,0.00747259997732989,-0.010506037902876297,0.106,0.7988721804511278,0.6089181286549707,GINONV_34,GINONV_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': 0.9}",-0.005363386603639342,0.0040570920376572514,0.2850429841143477,0.005834965634277022,0.21094826134402944,0.106,0.7506265664160402,0.7280701754385965,GINONV_34,GINONV_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_GINONV_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 25}",-0.005591967578173996,0.002718863219937887,0.520871028735516,0.005472237611392356,0.25999930895175904,0.106,0.8594924812030075,0.6973684210526315,GINONV_34,GINONV_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005231380361890399,0.00412072092359786,0.3285378753035809,0.004672793752111623,0.09240001827853905,0.08181819844581517,0.6398729946524065,0.6055806938159879,CONSTITUTIONAL_34,CONSTITUTIONAL_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 100, 'l1_ratio': 0.30000000000000004}",-0.006403466037787453,0.006136937247891557,-2.220446049250313e-16,0.005148516798390247,0.0,0.08181819844581517,0.5,0.5,CONSTITUTIONAL_34,CONSTITUTIONAL_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 2, 'max_features': 'auto', 'n_estimators': 10}",-0.005854276461559298,0.004003596640796081,0.3476230114343143,0.0050072633105977425,0.0274357632156641,0.08181819844581517,0.6497326203208555,0.6711915535444948,CONSTITUTIONAL_34,CONSTITUTIONAL_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_INFECTION_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.8, 'min_samples_leaf': 0.04}",-0.007942207126552362,0.004538324446858574,0.40135738098223295,0.004652441232304495,-0.5993911138495682,0.075,0.8106203007518796,0.5739064856711916,INFECTION_34,INFECTION_34,cart,0
0,results/linear/vAAAI-23_CHEMOexample_INFECTION_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.6}",-0.007386188698231476,0.006790602990095868,0.10426316886295761,0.0025863956246243583,0.11086288415628409,0.075,0.7542293233082706,0.7073906485671191,INFECTION_34,INFECTION_34,linear,0
0,results/rf/vAAAI-23_CHEMOexample_INFECTION_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10}",-0.007467969144350115,0.0025581255505708654,0.6625620320226231,0.0036096248058588415,-0.24089731617350552,0.075,0.8472744360902256,0.5912518853695324,INFECTION_34,INFECTION_34,rf,0
0,results/cart/vAAAI-23_CHEMOexample_DLT_PROP_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.6, 'min_samples_leaf': 0.06}",-0.026276333054398075,0.018582523885505287,0.36334158748639156,0.023935386829786846,0.2723729839977369,0.6373041536518852,0.837047803617571,0.697560975609756,DLT_PROP,DLT_PROP,cart,0
0,results/linear/vAAAI-23_CHEMOexample_DLT_PROP_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 1, 'l1_ratio': 0.4}",-0.02929616455700158,0.024609788630514644,0.1568406391760241,0.02830775991392976,0.13945443947251135,0.6373041536518852,0.7055878552971576,0.7528455284552845,DLT_PROP,DLT_PROP,linear,0
0,results/rf/vAAAI-23_CHEMOexample_DLT_PROP_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 25}",-0.02705751522657431,0.013322680881295186,0.5435497937432003,0.025273454578621846,0.23169621323078016,0.6373041536518852,0.9040697674418604,0.7040650406504064,DLT_PROP,DLT_PROP,rf,0
0,results/cart/vAAAI-23_CHEMOexample_OS_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 9, 'max_features': 0.6, 'min_samples_leaf': 0.04}",-7.634686285459184,2.677540495706479,0.6245307850448949,14.39376716117995,0.2610949348332674,,,,OS,OS,cart,0
0,results/linear/vAAAI-23_CHEMOexample_OS_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 10, 'l1_ratio': 0.1}",-6.685833563262172,3.975810409525943,0.44247550478927067,12.836334118654724,0.3410458712971851,,,,OS,OS,linear,0
0,results/rf/vAAAI-23_CHEMOexample_OS_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'auto', 'n_estimators': 10}",-6.409505083631283,2.5598351472863423,0.641036505439486,13.488176012634048,0.3075835211177125,,,,OS,OS,rf,0
